HR,start_time_unix,sampling_rate
109.0,1623676094.0,1.0
109.0,1623676094.0,1.0
100.33,1623676094.0,1.0
125.25,1623676094.0,1.0
121.8,1623676094.0,1.0
137.0,1623676094.0,1.0
147.71,1623676094.0,1.0
155.75,1623676094.0,1.0
161.78,1623676094.0,1.0
166.2,1623676094.0,1.0
170.18,1623676094.0,1.0
173.5,1623676094.0,1.0
176.08,1623676094.0,1.0
178.36,1623676094.0,1.0
180.27,1623676094.0,1.0
177.56,1623676094.0,1.0
175.18,1623676094.0,1.0
173.33,1623676094.0,1.0
171.05,1623676094.0,1.0
168.4,1623676094.0,1.0
166.1,1623676094.0,1.0
163.77,1623676094.0,1.0
161.52,1623676094.0,1.0
159.42,1623676094.0,1.0
157.44,1623676094.0,1.0
155.5,1623676094.0,1.0
153.7,1623676094.0,1.0
152.04,1623676094.0,1.0
150.48,1623676094.0,1.0
149.03,1623676094.0,1.0
147.65,1623676094.0,1.0
146.34,1623676094.0,1.0
145.21,1623676094.0,1.0
144.24,1623676094.0,1.0
143.31,1623676094.0,1.0
142.47,1623676094.0,1.0
141.68,1623676094.0,1.0
140.95,1623676094.0,1.0
140.23,1623676094.0,1.0
139.6,1623676094.0,1.0
138.95,1623676094.0,1.0
138.36,1623676094.0,1.0
137.77,1623676094.0,1.0
137.18,1623676094.0,1.0
136.62,1623676094.0,1.0
136.09,1623676094.0,1.0
135.6,1623676094.0,1.0
135.12,1623676094.0,1.0
134.69,1623676094.0,1.0
134.28,1623676094.0,1.0
133.9,1623676094.0,1.0
133.56,1623676094.0,1.0
133.26,1623676094.0,1.0
133.0,1623676094.0,1.0
132.75,1623676094.0,1.0
132.48,1623676094.0,1.0
132.23,1623676094.0,1.0
132.0,1623676094.0,1.0
131.75,1623676094.0,1.0
131.55,1623676094.0,1.0
131.77,1623676094.0,1.0
131.97,1623676094.0,1.0
132.67,1623676094.0,1.0
131.47,1623676094.0,1.0
131.82,1623676094.0,1.0
130.23,1623676094.0,1.0
128.57,1623676094.0,1.0
126.67,1623676094.0,1.0
124.83,1623676094.0,1.0
123.1,1623676094.0,1.0
121.32,1623676094.0,1.0
119.53,1623676094.0,1.0
117.82,1623676094.0,1.0
116.05,1623676094.0,1.0
114.32,1623676094.0,1.0
113.77,1623676094.0,1.0
113.22,1623676094.0,1.0
112.6,1623676094.0,1.0
112.2,1623676094.0,1.0
112.02,1623676094.0,1.0
111.83,1623676094.0,1.0
111.75,1623676094.0,1.0
111.73,1623676094.0,1.0
111.8,1623676094.0,1.0
111.9,1623676094.0,1.0
112.07,1623676094.0,1.0
112.25,1623676094.0,1.0
112.45,1623676094.0,1.0
112.65,1623676094.0,1.0
112.83,1623676094.0,1.0
113.02,1623676094.0,1.0
113.18,1623676094.0,1.0
113.27,1623676094.0,1.0
113.25,1623676094.0,1.0
113.2,1623676094.0,1.0
113.13,1623676094.0,1.0
113.08,1623676094.0,1.0
113.05,1623676094.0,1.0
113.05,1623676094.0,1.0
113.03,1623676094.0,1.0
113.07,1623676094.0,1.0
113.07,1623676094.0,1.0
113.03,1623676094.0,1.0
112.98,1623676094.0,1.0
112.9,1623676094.0,1.0
112.78,1623676094.0,1.0
112.63,1623676094.0,1.0
112.33,1623676094.0,1.0
112.02,1623676094.0,1.0
111.7,1623676094.0,1.0
111.38,1623676094.0,1.0
111.05,1623676094.0,1.0
110.7,1623676094.0,1.0
110.3,1623676094.0,1.0
109.97,1623676094.0,1.0
109.68,1623676094.0,1.0
109.38,1623676094.0,1.0
109.05,1623676094.0,1.0
108.92,1623676094.0,1.0
108.7,1623676094.0,1.0
108.42,1623676094.0,1.0
108.15,1623676094.0,1.0
107.78,1623676094.0,1.0
107.17,1623676094.0,1.0
106.5,1623676094.0,1.0
105.57,1623676094.0,1.0
104.75,1623676094.0,1.0
104.17,1623676094.0,1.0
103.62,1623676094.0,1.0
103.07,1623676094.0,1.0
102.45,1623676094.0,1.0
101.78,1623676094.0,1.0
101.07,1623676094.0,1.0
100.42,1623676094.0,1.0
99.75,1623676094.0,1.0
99.05,1623676094.0,1.0
98.45,1623676094.0,1.0
97.82,1623676094.0,1.0
97.2,1623676094.0,1.0
96.57,1623676094.0,1.0
95.9,1623676094.0,1.0
95.2,1623676094.0,1.0
94.47,1623676094.0,1.0
93.65,1623676094.0,1.0
92.8,1623676094.0,1.0
91.9,1623676094.0,1.0
91.0,1623676094.0,1.0
90.05,1623676094.0,1.0
89.08,1623676094.0,1.0
88.13,1623676094.0,1.0
87.2,1623676094.0,1.0
86.33,1623676094.0,1.0
85.53,1623676094.0,1.0
84.78,1623676094.0,1.0
84.07,1623676094.0,1.0
83.3,1623676094.0,1.0
82.57,1623676094.0,1.0
81.82,1623676094.0,1.0
81.03,1623676094.0,1.0
80.23,1623676094.0,1.0
79.42,1623676094.0,1.0
78.62,1623676094.0,1.0
77.88,1623676094.0,1.0
77.18,1623676094.0,1.0
76.52,1623676094.0,1.0
75.87,1623676094.0,1.0
75.25,1623676094.0,1.0
74.83,1623676094.0,1.0
74.4,1623676094.0,1.0
73.92,1623676094.0,1.0
73.5,1623676094.0,1.0
73.08,1623676094.0,1.0
72.7,1623676094.0,1.0
72.37,1623676094.0,1.0
71.97,1623676094.0,1.0
71.52,1623676094.0,1.0
71.08,1623676094.0,1.0
70.52,1623676094.0,1.0
69.73,1623676094.0,1.0
69.08,1623676094.0,1.0
68.47,1623676094.0,1.0
67.83,1623676094.0,1.0
67.2,1623676094.0,1.0
66.77,1623676094.0,1.0
66.37,1623676094.0,1.0
66.65,1623676094.0,1.0
66.93,1623676094.0,1.0
67.23,1623676094.0,1.0
67.48,1623676094.0,1.0
67.72,1623676094.0,1.0
68.03,1623676094.0,1.0
68.45,1623676094.0,1.0
68.87,1623676094.0,1.0
69.25,1623676094.0,1.0
69.58,1623676094.0,1.0
69.88,1623676094.0,1.0
70.08,1623676094.0,1.0
70.23,1623676094.0,1.0
70.33,1623676094.0,1.0
70.43,1623676094.0,1.0
70.45,1623676094.0,1.0
70.47,1623676094.0,1.0
70.52,1623676094.0,1.0
70.65,1623676094.0,1.0
70.8,1623676094.0,1.0
71.02,1623676094.0,1.0
71.25,1623676094.0,1.0
71.55,1623676094.0,1.0
71.9,1623676094.0,1.0
72.3,1623676094.0,1.0
72.73,1623676094.0,1.0
73.13,1623676094.0,1.0
73.57,1623676094.0,1.0
73.98,1623676094.0,1.0
74.3,1623676094.0,1.0
74.93,1623676094.0,1.0
75.5,1623676094.0,1.0
76.07,1623676094.0,1.0
76.63,1623676094.0,1.0
77.07,1623676094.0,1.0
77.43,1623676094.0,1.0
77.8,1623676094.0,1.0
78.15,1623676094.0,1.0
78.5,1623676094.0,1.0
78.85,1623676094.0,1.0
79.23,1623676094.0,1.0
79.45,1623676094.0,1.0
79.6,1623676094.0,1.0
79.73,1623676094.0,1.0
79.97,1623676094.0,1.0
80.38,1623676094.0,1.0
81.63,1623676094.0,1.0
82.83,1623676094.0,1.0
84.2,1623676094.0,1.0
85.57,1623676094.0,1.0
86.9,1623676094.0,1.0
88.28,1623676094.0,1.0
89.82,1623676094.0,1.0
91.4,1623676094.0,1.0
92.85,1623676094.0,1.0
94.33,1623676094.0,1.0
95.8,1623676094.0,1.0
97.62,1623676094.0,1.0
99.43,1623676094.0,1.0
101.27,1623676094.0,1.0
102.87,1623676094.0,1.0
104.7,1623676094.0,1.0
106.52,1623676094.0,1.0
108.32,1623676094.0,1.0
110.07,1623676094.0,1.0
111.77,1623676094.0,1.0
113.37,1623676094.0,1.0
114.98,1623676094.0,1.0
116.72,1623676094.0,1.0
118.48,1623676094.0,1.0
120.32,1623676094.0,1.0
122.13,1623676094.0,1.0
124.03,1623676094.0,1.0
125.93,1623676094.0,1.0
127.85,1623676094.0,1.0
129.88,1623676094.0,1.0
131.95,1623676094.0,1.0
133.97,1623676094.0,1.0
136.3,1623676094.0,1.0
138.62,1623676094.0,1.0
140.87,1623676094.0,1.0
143.08,1623676094.0,1.0
145.28,1623676094.0,1.0
147.45,1623676094.0,1.0
149.47,1623676094.0,1.0
151.47,1623676094.0,1.0
153.5,1623676094.0,1.0
155.47,1623676094.0,1.0
157.3,1623676094.0,1.0
158.73,1623676094.0,1.0
159.25,1623676094.0,1.0
159.83,1623676094.0,1.0
160.42,1623676094.0,1.0
161.0,1623676094.0,1.0
161.77,1623676094.0,1.0
162.28,1623676094.0,1.0
162.83,1623676094.0,1.0
163.28,1623676094.0,1.0
163.73,1623676094.0,1.0
164.2,1623676094.0,1.0
164.68,1623676094.0,1.0
165.32,1623676094.0,1.0
165.95,1623676094.0,1.0
166.63,1623676094.0,1.0
167.25,1623676094.0,1.0
167.57,1623676094.0,1.0
167.08,1623676094.0,1.0
166.58,1623676094.0,1.0
165.9,1623676094.0,1.0
165.2,1623676094.0,1.0
164.57,1623676094.0,1.0
163.85,1623676094.0,1.0
163.1,1623676094.0,1.0
162.38,1623676094.0,1.0
161.7,1623676094.0,1.0
160.98,1623676094.0,1.0
160.13,1623676094.0,1.0
158.93,1623676094.0,1.0
158.03,1623676094.0,1.0
157.12,1623676094.0,1.0
156.22,1623676094.0,1.0
155.08,1623676094.0,1.0
153.95,1623676094.0,1.0
152.85,1623676094.0,1.0
151.83,1623676094.0,1.0
150.82,1623676094.0,1.0
149.85,1623676094.0,1.0
148.92,1623676094.0,1.0
147.85,1623676094.0,1.0
146.8,1623676094.0,1.0
145.77,1623676094.0,1.0
144.78,1623676094.0,1.0
143.8,1623676094.0,1.0
143.45,1623676094.0,1.0
142.78,1623676094.0,1.0
142.08,1623676094.0,1.0
141.38,1623676094.0,1.0
140.73,1623676094.0,1.0
139.68,1623676094.0,1.0
138.77,1623676094.0,1.0
137.87,1623676094.0,1.0
136.95,1623676094.0,1.0
136.05,1623676094.0,1.0
135.13,1623676094.0,1.0
134.35,1623676094.0,1.0
133.6,1623676094.0,1.0
132.82,1623676094.0,1.0
132.1,1623676094.0,1.0
131.48,1623676094.0,1.0
131.37,1623676094.0,1.0
131.93,1623676094.0,1.0
132.43,1623676094.0,1.0
132.93,1623676094.0,1.0
133.47,1623676094.0,1.0
133.87,1623676094.0,1.0
134.57,1623676094.0,1.0
135.22,1623676094.0,1.0
135.98,1623676094.0,1.0
136.75,1623676094.0,1.0
137.5,1623676094.0,1.0
138.18,1623676094.0,1.0
138.83,1623676094.0,1.0
139.42,1623676094.0,1.0
140.08,1623676094.0,1.0
140.75,1623676094.0,1.0
141.45,1623676094.0,1.0
142.03,1623676094.0,1.0
142.47,1623676094.0,1.0
142.88,1623676094.0,1.0
143.2,1623676094.0,1.0
143.15,1623676094.0,1.0
143.13,1623676094.0,1.0
143.13,1623676094.0,1.0
143.07,1623676094.0,1.0
143.0,1623676094.0,1.0
142.88,1623676094.0,1.0
142.9,1623676094.0,1.0
142.95,1623676094.0,1.0
142.7,1623676094.0,1.0
142.45,1623676094.0,1.0
142.15,1623676094.0,1.0
141.83,1623676094.0,1.0
141.5,1623676094.0,1.0
141.1,1623676094.0,1.0
140.73,1623676094.0,1.0
140.33,1623676094.0,1.0
139.82,1623676094.0,1.0
139.3,1623676094.0,1.0
138.82,1623676094.0,1.0
138.33,1623676094.0,1.0
137.88,1623676094.0,1.0
137.4,1623676094.0,1.0
136.92,1623676094.0,1.0
135.8,1623676094.0,1.0
134.97,1623676094.0,1.0
134.13,1623676094.0,1.0
133.25,1623676094.0,1.0
132.33,1623676094.0,1.0
