EDA,start_time_unix,sampling_rate
0.0,1623777517.0,4.0
0.836457,1623777517.0,4.0
1.18386,1623777517.0,4.0
1.622013,1623777517.0,4.0
1.764297,1623777517.0,4.0
1.771982,1623777517.0,4.0
1.780949,1623777517.0,4.0
1.783511,1623777517.0,4.0
1.789916,1623777517.0,4.0
1.79632,1623777517.0,4.0
1.793758,1623777517.0,4.0
1.800163,1623777517.0,4.0
1.795039,1623777517.0,4.0
1.800163,1623777517.0,4.0
1.801444,1623777517.0,4.0
1.801444,1623777517.0,4.0
1.79632,1623777517.0,4.0
1.79632,1623777517.0,4.0
1.79632,1623777517.0,4.0
1.79632,1623777517.0,4.0
1.791197,1623777517.0,4.0
1.791197,1623777517.0,4.0
1.787354,1623777517.0,4.0
1.791197,1623777517.0,4.0
1.791197,1623777517.0,4.0
1.793758,1623777517.0,4.0
1.792477,1623777517.0,4.0
1.800163,1623777517.0,4.0
1.802725,1623777517.0,4.0
1.800163,1623777517.0,4.0
1.804006,1623777517.0,4.0
1.804006,1623777517.0,4.0
1.804006,1623777517.0,4.0
1.802725,1623777517.0,4.0
1.801444,1623777517.0,4.0
1.802725,1623777517.0,4.0
1.800163,1623777517.0,4.0
1.795039,1623777517.0,4.0
1.79632,1623777517.0,4.0
1.79632,1623777517.0,4.0
1.79632,1623777517.0,4.0
1.793758,1623777517.0,4.0
1.789916,1623777517.0,4.0
1.793758,1623777517.0,4.0
1.792477,1623777517.0,4.0
1.788635,1623777517.0,4.0
1.795039,1623777517.0,4.0
1.804006,1623777517.0,4.0
1.811692,1623777517.0,4.0
1.827063,1623777517.0,4.0
1.837311,1623777517.0,4.0
1.843715,1623777517.0,4.0
1.851401,1623777517.0,4.0
1.861649,1623777517.0,4.0
1.868053,1623777517.0,4.0
1.866772,1623777517.0,4.0
1.86421,1623777517.0,4.0
1.868053,1623777517.0,4.0
1.866772,1623777517.0,4.0
1.861649,1623777517.0,4.0
1.860368,1623777517.0,4.0
1.857806,1623777517.0,4.0
1.85012,1623777517.0,4.0
1.847558,1623777517.0,4.0
1.841153,1623777517.0,4.0
1.834749,1623777517.0,4.0
1.834749,1623777517.0,4.0
1.829625,1623777517.0,4.0
1.834749,1623777517.0,4.0
1.829625,1623777517.0,4.0
1.828344,1623777517.0,4.0
1.829625,1623777517.0,4.0
1.832187,1623777517.0,4.0
1.825782,1623777517.0,4.0
1.824501,1623777517.0,4.0
1.825782,1623777517.0,4.0
1.82322,1623777517.0,4.0
1.820658,1623777517.0,4.0
1.825782,1623777517.0,4.0
1.820658,1623777517.0,4.0
1.82322,1623777517.0,4.0
1.819377,1623777517.0,4.0
1.827063,1623777517.0,4.0
1.824501,1623777517.0,4.0
1.827063,1623777517.0,4.0
1.830906,1623777517.0,4.0
1.832187,1623777517.0,4.0
1.837311,1623777517.0,4.0
1.841153,1623777517.0,4.0
1.691283,1623777517.0,4.0
1.514512,1623777517.0,4.0
1.536288,1623777517.0,4.0
1.535007,1623777517.0,4.0
1.536288,1623777517.0,4.0
1.514512,1623777517.0,4.0
1.481208,1623777517.0,4.0
1.519636,1623777517.0,4.0
1.569593,1623777517.0,4.0
1.618269,1623777517.0,4.0
1.638764,1623777517.0,4.0
1.663102,1623777517.0,4.0
1.693845,1623777517.0,4.0
1.711778,1623777517.0,4.0
1.723306,1623777517.0,4.0
1.734835,1623777517.0,4.0
1.738678,1623777517.0,4.0
1.750206,1623777517.0,4.0
1.750206,1623777517.0,4.0
1.750206,1623777517.0,4.0
1.750206,1623777517.0,4.0
1.751487,1623777517.0,4.0
1.745082,1623777517.0,4.0
1.748925,1623777517.0,4.0
1.748925,1623777517.0,4.0
1.751487,1623777517.0,4.0
1.748925,1623777517.0,4.0
1.752768,1623777517.0,4.0
1.756611,1623777517.0,4.0
1.759173,1623777517.0,4.0
1.764297,1623777517.0,4.0
1.765578,1623777517.0,4.0
1.765578,1623777517.0,4.0
1.769421,1623777517.0,4.0
1.765578,1623777517.0,4.0
1.768139,1623777517.0,4.0
1.763016,1623777517.0,4.0
1.763016,1623777517.0,4.0
1.760454,1623777517.0,4.0
1.761735,1623777517.0,4.0
1.763016,1623777517.0,4.0
1.763016,1623777517.0,4.0
1.768139,1623777517.0,4.0
1.773263,1623777517.0,4.0
1.774544,1623777517.0,4.0
1.779668,1623777517.0,4.0
1.789916,1623777517.0,4.0
1.807849,1623777517.0,4.0
1.821939,1623777517.0,4.0
1.838592,1623777517.0,4.0
1.848839,1623777517.0,4.0
1.853963,1623777517.0,4.0
1.862929,1623777517.0,4.0
1.866772,1623777517.0,4.0
1.871896,1623777517.0,4.0
1.868053,1623777517.0,4.0
1.869334,1623777517.0,4.0
1.871896,1623777517.0,4.0
1.868053,1623777517.0,4.0
1.869334,1623777517.0,4.0
1.860368,1623777517.0,4.0
1.853963,1623777517.0,4.0
1.853963,1623777517.0,4.0
1.855244,1623777517.0,4.0
1.847558,1623777517.0,4.0
1.843715,1623777517.0,4.0
1.839872,1623777517.0,4.0
1.839872,1623777517.0,4.0
1.837311,1623777517.0,4.0
1.834749,1623777517.0,4.0
1.832187,1623777517.0,4.0
1.832187,1623777517.0,4.0
1.827063,1623777517.0,4.0
1.834749,1623777517.0,4.0
1.827063,1623777517.0,4.0
1.824501,1623777517.0,4.0
1.82322,1623777517.0,4.0
1.821939,1623777517.0,4.0
1.821939,1623777517.0,4.0
1.819377,1623777517.0,4.0
1.818096,1623777517.0,4.0
1.819377,1623777517.0,4.0
1.816815,1623777517.0,4.0
1.821939,1623777517.0,4.0
1.818096,1623777517.0,4.0
1.818096,1623777517.0,4.0
1.816815,1623777517.0,4.0
1.815534,1623777517.0,4.0
1.815534,1623777517.0,4.0
1.815534,1623777517.0,4.0
1.820658,1623777517.0,4.0
1.824501,1623777517.0,4.0
1.82322,1623777517.0,4.0
1.829625,1623777517.0,4.0
1.832187,1623777517.0,4.0
1.832187,1623777517.0,4.0
1.841153,1623777517.0,4.0
1.841153,1623777517.0,4.0
1.838592,1623777517.0,4.0
1.847558,1623777517.0,4.0
1.841153,1623777517.0,4.0
1.844996,1623777517.0,4.0
1.839872,1623777517.0,4.0
1.839872,1623777517.0,4.0
1.838592,1623777517.0,4.0
1.834749,1623777517.0,4.0
1.833468,1623777517.0,4.0
1.833468,1623777517.0,4.0
1.834749,1623777517.0,4.0
1.833468,1623777517.0,4.0
1.830906,1623777517.0,4.0
1.827063,1623777517.0,4.0
1.829625,1623777517.0,4.0
1.829625,1623777517.0,4.0
1.828344,1623777517.0,4.0
1.82322,1623777517.0,4.0
1.821939,1623777517.0,4.0
1.825782,1623777517.0,4.0
1.820658,1623777517.0,4.0
1.828344,1623777517.0,4.0
1.832187,1623777517.0,4.0
1.83603,1623777517.0,4.0
1.83603,1623777517.0,4.0
1.842434,1623777517.0,4.0
1.839872,1623777517.0,4.0
1.844996,1623777517.0,4.0
1.851401,1623777517.0,4.0
1.848839,1623777517.0,4.0
1.856525,1623777517.0,4.0
1.862929,1623777517.0,4.0
1.86421,1623777517.0,4.0
1.870615,1623777517.0,4.0
1.87702,1623777517.0,4.0
1.887267,1623777517.0,4.0
1.892391,1623777517.0,4.0
1.887267,1623777517.0,4.0
1.889829,1623777517.0,4.0
1.888548,1623777517.0,4.0
1.888548,1623777517.0,4.0
1.887267,1623777517.0,4.0
1.888548,1623777517.0,4.0
1.892391,1623777517.0,4.0
1.896234,1623777517.0,4.0
1.90392,1623777517.0,4.0
1.912886,1623777517.0,4.0
1.921853,1623777517.0,4.0
1.924415,1623777517.0,4.0
1.923134,1623777517.0,4.0
1.920572,1623777517.0,4.0
1.926977,1623777517.0,4.0
1.924415,1623777517.0,4.0
1.934662,1623777517.0,4.0
1.943629,1623777517.0,4.0
1.939986,1623777517.0,4.0
1.936143,1623777517.0,4.0
1.939986,1623777517.0,4.0
