HR,start_time_unix,sampling_rate
52.0,1623777532.0,1.0
67.5,1623777532.0,1.0
71.33,1623777532.0,1.0
74.75,1623777532.0,1.0
76.4,1623777532.0,1.0
81.83,1623777532.0,1.0
87.29,1623777532.0,1.0
91.38,1623777532.0,1.0
94.44,1623777532.0,1.0
96.7,1623777532.0,1.0
98.27,1623777532.0,1.0
99.67,1623777532.0,1.0
101.0,1623777532.0,1.0
102.0,1623777532.0,1.0
103.0,1623777532.0,1.0
103.62,1623777532.0,1.0
104.35,1623777532.0,1.0
104.0,1623777532.0,1.0
103.37,1623777532.0,1.0
102.75,1623777532.0,1.0
102.05,1623777532.0,1.0
101.41,1623777532.0,1.0
100.78,1623777532.0,1.0
99.79,1623777532.0,1.0
98.88,1623777532.0,1.0
98.04,1623777532.0,1.0
97.26,1623777532.0,1.0
96.57,1623777532.0,1.0
95.93,1623777532.0,1.0
95.33,1623777532.0,1.0
94.77,1623777532.0,1.0
94.25,1623777532.0,1.0
93.79,1623777532.0,1.0
93.41,1623777532.0,1.0
93.09,1623777532.0,1.0
92.78,1623777532.0,1.0
92.46,1623777532.0,1.0
92.13,1623777532.0,1.0
91.79,1623777532.0,1.0
91.45,1623777532.0,1.0
91.24,1623777532.0,1.0
91.07,1623777532.0,1.0
90.84,1623777532.0,1.0
90.61,1623777532.0,1.0
90.4,1623777532.0,1.0
90.09,1623777532.0,1.0
89.79,1623777532.0,1.0
89.52,1623777532.0,1.0
89.27,1623777532.0,1.0
89.02,1623777532.0,1.0
88.76,1623777532.0,1.0
88.54,1623777532.0,1.0
88.28,1623777532.0,1.0
88.06,1623777532.0,1.0
87.89,1623777532.0,1.0
87.73,1623777532.0,1.0
87.58,1623777532.0,1.0
87.47,1623777532.0,1.0
87.34,1623777532.0,1.0
87.2,1623777532.0,1.0
87.67,1623777532.0,1.0
87.62,1623777532.0,1.0
87.63,1623777532.0,1.0
87.58,1623777532.0,1.0
87.58,1623777532.0,1.0
87.15,1623777532.0,1.0
86.55,1623777532.0,1.0
85.97,1623777532.0,1.0
85.4,1623777532.0,1.0
84.87,1623777532.0,1.0
84.42,1623777532.0,1.0
83.95,1623777532.0,1.0
83.45,1623777532.0,1.0
82.98,1623777532.0,1.0
82.47,1623777532.0,1.0
81.88,1623777532.0,1.0
81.25,1623777532.0,1.0
80.88,1623777532.0,1.0
