ACC_X,ACC_Y,ACC_Z,start_time_unix,sampling_rate
-39,-3,51,1634891694.0,32.000000
-40,-2,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-39,-3,50,1634891694.0,32.000000
-39,-3,50,1634891694.0,32.000000
-39,-3,51,1634891694.0,32.000000
-39,-2,51,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-39,-3,50,1634891694.0,32.000000
-39,-3,50,1634891694.0,32.000000
-39,-3,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-39,-3,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-39,-3,50,1634891694.0,32.000000
-39,-3,50,1634891694.0,32.000000
-39,-3,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-39,-3,50,1634891694.0,32.000000
-39,-4,50,1634891694.0,32.000000
-39,-3,50,1634891694.0,32.000000
-39,-4,51,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-40,-4,50,1634891694.0,32.000000
-43,-2,50,1634891694.0,32.000000
-42,-3,49,1634891694.0,32.000000
-41,-3,49,1634891694.0,32.000000
-41,-3,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-39,-4,50,1634891694.0,32.000000
-37,-2,52,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-41,-4,49,1634891694.0,32.000000
-40,-3,49,1634891694.0,32.000000
-40,-3,50,1634891694.0,32.000000
-41,-3,49,1634891694.0,32.000000
-41,-3,49,1634891694.0,32.000000
-40,-3,51,1634891694.0,32.000000
-41,-3,48,1634891694.0,32.000000
-43,-3,47,1634891694.0,32.000000
-44,-3,47,1634891694.0,32.000000
-42,-3,48,1634891694.0,32.000000
-38,-2,50,1634891694.0,32.000000
-44,-3,47,1634891694.0,32.000000
-41,-3,48,1634891694.0,32.000000
-42,-3,46,1634891694.0,32.000000
-47,-3,44,1634891694.0,32.000000
-52,-3,45,1634891694.0,32.000000
-42,-3,44,1634891694.0,32.000000
-38,-1,51,1634891694.0,32.000000
-43,-2,48,1634891694.0,32.000000
-44,-2,46,1634891694.0,32.000000
-47,-2,46,1634891694.0,32.000000
-45,-2,47,1634891694.0,32.000000
-42,-2,48,1634891694.0,32.000000
-42,-2,49,1634891694.0,32.000000
-42,-2,49,1634891694.0,32.000000
-41,-3,48,1634891694.0,32.000000
-42,-3,49,1634891694.0,32.000000
-39,-2,50,1634891694.0,32.000000
-39,-2,50,1634891694.0,32.000000
-39,-2,51,1634891694.0,32.000000
-40,-2,50,1634891694.0,32.000000
-38,-2,51,1634891694.0,32.000000
-38,-2,51,1634891694.0,32.000000
-38,-2,51,1634891694.0,32.000000
-39,-2,51,1634891694.0,32.000000
-39,-3,50,1634891694.0,32.000000
-40,-2,50,1634891694.0,32.000000
-40,-2,50,1634891694.0,32.000000
-40,-2,50,1634891694.0,32.000000
-39,-2,50,1634891694.0,32.000000
