ACC_X,ACC_Y,ACC_Z,start_time_unix,sampling_rate
-49,6,43,1634891695.0,32.000000
-50,6,43,1634891695.0,32.000000
-49,6,43,1634891695.0,32.000000
-49,6,44,1634891695.0,32.000000
-50,6,43,1634891695.0,32.000000
-50,6,43,1634891695.0,32.000000
-49,6,44,1634891695.0,32.000000
-50,6,43,1634891695.0,32.000000
-50,6,43,1634891695.0,32.000000
-49,6,43,1634891695.0,32.000000
-49,6,43,1634891695.0,32.000000
-49,6,43,1634891695.0,32.000000
-49,6,43,1634891695.0,32.000000
-49,5,43,1634891695.0,32.000000
-50,6,43,1634891695.0,32.000000
-50,6,43,1634891695.0,32.000000
-49,5,44,1634891695.0,32.000000
-49,5,44,1634891695.0,32.000000
-49,5,44,1634891695.0,32.000000
-49,5,45,1634891695.0,32.000000
-49,5,44,1634891695.0,32.000000
-48,5,45,1634891695.0,32.000000
-48,5,45,1634891695.0,32.000000
-48,5,45,1634891695.0,32.000000
-46,4,48,1634891695.0,32.000000
-44,3,49,1634891695.0,32.000000
-43,4,48,1634891695.0,32.000000
-40,5,51,1634891695.0,32.000000
-40,5,51,1634891695.0,32.000000
-42,5,49,1634891695.0,32.000000
-43,5,49,1634891695.0,32.000000
-43,5,49,1634891695.0,32.000000
-44,5,49,1634891695.0,32.000000
-44,5,49,1634891695.0,32.000000
-44,4,49,1634891695.0,32.000000
-44,5,48,1634891695.0,32.000000
-44,5,49,1634891695.0,32.000000
-45,5,49,1634891695.0,32.000000
-44,4,49,1634891695.0,32.000000
-43,4,50,1634891695.0,32.000000
-43,4,51,1634891695.0,32.000000
-43,4,50,1634891695.0,32.000000
-43,5,50,1634891695.0,32.000000
-44,5,50,1634891695.0,32.000000
-45,5,51,1634891695.0,32.000000
-41,3,51,1634891695.0,32.000000
-41,4,47,1634891695.0,32.000000
-39,4,47,1634891695.0,32.000000
-47,23,46,1634891695.0,32.000000
-51,9,49,1634891695.0,32.000000
-39,5,50,1634891695.0,32.000000
-36,4,48,1634891695.0,32.000000
-32,0,43,1634891695.0,32.000000
-32,-3,44,1634891695.0,32.000000
-44,10,62,1634891695.0,32.000000
-46,5,51,1634891695.0,32.000000
-40,7,48,1634891695.0,32.000000
-40,3,53,1634891695.0,32.000000
-40,3,52,1634891695.0,32.000000
-39,4,52,1634891695.0,32.000000
-45,4,50,1634891695.0,32.000000
-45,5,49,1634891695.0,32.000000
-47,6,48,1634891695.0,32.000000
-47,5,48,1634891695.0,32.000000
-44,7,47,1634891695.0,32.000000
-43,7,48,1634891695.0,32.000000
-43,6,49,1634891695.0,32.000000
-44,6,48,1634891695.0,32.000000
-45,6,47,1634891695.0,32.000000
-45,7,48,1634891695.0,32.000000
-43,7,49,1634891695.0,32.000000
-43,7,49,1634891695.0,32.000000
