BVP,start_time_unix,sampling_rate
-0.0,1626117634.0,64.0
-0.0,1626117634.0,64.0
-0.0,1626117634.0,64.0
-0.0,1626117634.0,64.0
-0.0,1626117634.0,64.0
-0.0,1626117634.0,64.0
-0.0,1626117634.0,64.0
-0.0,1626117634.0,64.0
-0.0,1626117634.0,64.0
-0.0,1626117634.0,64.0
0.0,1626117634.0,64.0
0.01,1626117634.0,64.0
0.01,1626117634.0,64.0
-0.0,1626117634.0,64.0
-0.03,1626117634.0,64.0
-0.05,1626117634.0,64.0
-0.05,1626117634.0,64.0
0.0,1626117634.0,64.0
0.13,1626117634.0,64.0
0.36,1626117634.0,64.0
0.66,1626117634.0,64.0
1.01,1626117634.0,64.0
1.37,1626117634.0,64.0
1.72,1626117634.0,64.0
2.06,1626117634.0,64.0
2.4,1626117634.0,64.0
2.79,1626117634.0,64.0
3.24,1626117634.0,64.0
3.8,1626117634.0,64.0
4.42,1626117634.0,64.0
5.06,1626117634.0,64.0
5.66,1626117634.0,64.0
6.2,1626117634.0,64.0
6.68,1626117634.0,64.0
7.15,1626117634.0,64.0
7.68,1626117634.0,64.0
8.31,1626117634.0,64.0
9.14,1626117634.0,64.0
10.09,1626117634.0,64.0
11.04,1626117634.0,64.0
11.88,1626117634.0,64.0
12.56,1626117634.0,64.0
13.14,1626117634.0,64.0
13.76,1626117634.0,64.0
14.65,1626117634.0,64.0
15.96,1626117634.0,64.0
17.91,1626117634.0,64.0
20.32,1626117634.0,64.0
22.9,1626117634.0,64.0
25.38,1626117634.0,64.0
27.58,1626117634.0,64.0
29.57,1626117634.0,64.0
31.68,1626117634.0,64.0
34.32,1626117634.0,64.0
37.81,1626117634.0,64.0
42.54,1626117634.0,64.0
48.15,1626117634.0,64.0
54.1,1626117634.0,64.0
59.83,1626117634.0,64.0
64.97,1626117634.0,64.0
69.58,1626117634.0,64.0
74.14,1626117634.0,64.0
79.34,1626117634.0,64.0
85.71,1626117634.0,64.0
93.76,1626117634.0,64.0
103.0,1626117634.0,64.0
112.62,1626117634.0,64.0
121.73,1626117634.0,64.0
129.77,1626117634.0,64.0
136.75,1626117634.0,64.0
143.3,1626117634.0,64.0
150.75,1626117634.0,64.0
157.77,1626117634.0,64.0
