ACC_X,ACC_Y,ACC_Z,start_time_unix,sampling_rate
-30,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,53,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-30,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-31,-20,55,1628937049.0,32.000000
-31,-20,55,1628937049.0,32.000000
-30,-20,55,1628937049.0,32.000000
-31,-20,53,1628937049.0,32.000000
-31,-20,54,1628937049.0,32.000000
-34,-21,52,1628937049.0,32.000000
-33,-19,53,1628937049.0,32.000000
-32,-19,53,1628937049.0,32.000000
-34,-19,52,1628937049.0,32.000000
-34,-19,52,1628937049.0,32.000000
-33,-18,53,1628937049.0,32.000000
-34,-18,52,1628937049.0,32.000000
-35,-18,52,1628937049.0,32.000000
-34,-18,53,1628937049.0,32.000000
-34,-18,54,1628937049.0,32.000000
-34,-18,53,1628937049.0,32.000000
-35,-18,52,1628937049.0,32.000000
-36,-18,52,1628937049.0,32.000000
-35,-17,52,1628937049.0,32.000000
-35,-18,52,1628937049.0,32.000000
-38,-19,51,1628937049.0,32.000000
-35,-18,51,1628937049.0,32.000000
-34,-17,52,1628937049.0,32.000000
-35,-15,52,1628937049.0,32.000000
-36,-14,52,1628937049.0,32.000000
-36,-15,53,1628937049.0,32.000000
-36,-15,54,1628937049.0,32.000000
-34,-13,54,1628937049.0,32.000000
-35,-11,53,1628937049.0,32.000000
-35,-12,52,1628937049.0,32.000000
-35,-13,50,1628937049.0,32.000000
-33,-12,53,1628937049.0,32.000000
-37,-20,47,1628937049.0,32.000000
-51,-18,41,1628937049.0,32.000000
-51,-18,35,1628937049.0,32.000000
-57,-16,58,1628937049.0,32.000000
-41,-14,69,1628937049.0,32.000000
-29,-20,62,1628937049.0,32.000000
-15,-15,64,1628937049.0,32.000000
-14,-10,67,1628937049.0,32.000000
-1,-14,73,1628937049.0,32.000000
-9,-15,66,1628937049.0,32.000000
-11,-15,56,1628937049.0,32.000000
-14,-20,54,1628937049.0,32.000000
-14,-23,54,1628937049.0,32.000000
-6,-24,55,1628937049.0,32.000000
-4,-24,55,1628937049.0,32.000000
4,-21,58,1628937049.0,32.000000
-2,-22,54,1628937049.0,32.000000
-2,-22,53,1628937049.0,32.000000
-3,-19,59,1628937049.0,32.000000
-6,-20,63,1628937049.0,32.000000
-10,-21,62,1628937049.0,32.000000
-10,-20,61,1628937049.0,32.000000
-9,-20,59,1628937049.0,32.000000
-8,-19,61,1628937049.0,32.000000
-8,-17,60,1628937049.0,32.000000
-8,-19,61,1628937049.0,32.000000
-13,-18,62,1628937049.0,32.000000
-16,-19,61,1628937049.0,32.000000
-12,-17,65,1628937049.0,32.000000
-13,-18,65,1628937049.0,32.000000
-13,-22,60,1628937049.0,32.000000
-12,-22,55,1628937049.0,32.000000
-9,-18,57,1628937049.0,32.000000
-7,-18,61,1628937049.0,32.000000
-8,-20,60,1628937049.0,32.000000
-10,-19,57,1628937049.0,32.000000
-12,-19,60,1628937049.0,32.000000
-14,-18,61,1628937049.0,32.000000
-9,-19,64,1628937049.0,32.000000
-10,-19,65,1628937049.0,32.000000
-12,-19,66,1628937049.0,32.000000
-9,-19,66,1628937049.0,32.000000
-6,-17,65,1628937049.0,32.000000
-2,-15,61,1628937049.0,32.000000
-1,-14,61,1628937049.0,32.000000
2,-14,58,1628937049.0,32.000000
-3,-13,62,1628937049.0,32.000000
-8,-19,57,1628937049.0,32.000000
-1,-13,65,1628937049.0,32.000000
-3,-14,66,1628937049.0,32.000000
2,-16,61,1628937049.0,32.000000
2,-13,61,1628937049.0,32.000000
-8,-21,61,1628937049.0,32.000000
-4,-17,65,1628937049.0,32.000000
7,-16,59,1628937049.0,32.000000
-2,-22,61,1628937049.0,32.000000
-6,-17,64,1628937049.0,32.000000
-4,-17,61,1628937049.0,32.000000
1,-15,59,1628937049.0,32.000000
0,-14,61,1628937049.0,32.000000
-2,-18,61,1628937049.0,32.000000
2,-14,64,1628937049.0,32.000000
4,-15,62,1628937049.0,32.000000
7,-13,67,1628937049.0,32.000000
2,-16,63,1628937049.0,32.000000
-6,-20,57,1628937049.0,32.000000
-9,-17,60,1628937049.0,32.000000
-7,-18,62,1628937049.0,32.000000
-1,-16,62,1628937049.0,32.000000
0,-18,60,1628937049.0,32.000000
-10,-20,58,1628937049.0,32.000000
-7,-17,62,1628937049.0,32.000000
-5,-18,63,1628937049.0,32.000000
-3,-18,62,1628937049.0,32.000000
0,-17,62,1628937049.0,32.000000
-9,-19,64,1628937049.0,32.000000
-7,-17,65,1628937049.0,32.000000
-3,-16,64,1628937049.0,32.000000
-2,-17,64,1628937049.0,32.000000
-7,-17,62,1628937049.0,32.000000
-10,-18,62,1628937049.0,32.000000
-10,-17,62,1628937049.0,32.000000
-11,-17,61,1628937049.0,32.000000
-13,-17,61,1628937049.0,32.000000
-15,-17,61,1628937049.0,32.000000
-17,-18,59,1628937049.0,32.000000
-18,-18,59,1628937049.0,32.000000
-19,-18,59,1628937049.0,32.000000
-18,-18,58,1628937049.0,32.000000
-18,-18,60,1628937049.0,32.000000
-20,-19,59,1628937049.0,32.000000
-20,-19,59,1628937049.0,32.000000
-22,-20,60,1628937049.0,32.000000
-23,-20,60,1628937049.0,32.000000
-23,-19,59,1628937049.0,32.000000
-22,-19,59,1628937049.0,32.000000
-21,-19,59,1628937049.0,32.000000
