BVP,start_time_unix,sampling_rate
-0.0,1628937049.0,64.0
-0.0,1628937049.0,64.0
-0.0,1628937049.0,64.0
-0.0,1628937049.0,64.0
-0.0,1628937049.0,64.0
-0.0,1628937049.0,64.0
-0.0,1628937049.0,64.0
-0.0,1628937049.0,64.0
-0.0,1628937049.0,64.0
-0.0,1628937049.0,64.0
0.0,1628937049.0,64.0
0.01,1628937049.0,64.0
0.01,1628937049.0,64.0
-0.0,1628937049.0,64.0
-0.03,1628937049.0,64.0
-0.05,1628937049.0,64.0
-0.05,1628937049.0,64.0
0.0,1628937049.0,64.0
0.13,1628937049.0,64.0
0.36,1628937049.0,64.0
0.66,1628937049.0,64.0
1.01,1628937049.0,64.0
1.37,1628937049.0,64.0
1.72,1628937049.0,64.0
2.06,1628937049.0,64.0
2.4,1628937049.0,64.0
2.79,1628937049.0,64.0
3.24,1628937049.0,64.0
3.8,1628937049.0,64.0
4.42,1628937049.0,64.0
5.06,1628937049.0,64.0
5.66,1628937049.0,64.0
6.2,1628937049.0,64.0
6.68,1628937049.0,64.0
7.15,1628937049.0,64.0
7.68,1628937049.0,64.0
8.31,1628937049.0,64.0
9.14,1628937049.0,64.0
10.09,1628937049.0,64.0
11.04,1628937049.0,64.0
11.88,1628937049.0,64.0
12.56,1628937049.0,64.0
13.14,1628937049.0,64.0
13.76,1628937049.0,64.0
14.65,1628937049.0,64.0
15.96,1628937049.0,64.0
17.91,1628937049.0,64.0
20.32,1628937049.0,64.0
22.9,1628937049.0,64.0
25.38,1628937049.0,64.0
27.58,1628937049.0,64.0
29.57,1628937049.0,64.0
31.68,1628937049.0,64.0
34.32,1628937049.0,64.0
37.81,1628937049.0,64.0
42.54,1628937049.0,64.0
48.15,1628937049.0,64.0
54.1,1628937049.0,64.0
59.83,1628937049.0,64.0
64.97,1628937049.0,64.0
69.58,1628937049.0,64.0
74.14,1628937049.0,64.0
79.34,1628937049.0,64.0
85.71,1628937049.0,64.0
93.76,1628937049.0,64.0
103.0,1628937049.0,64.0
112.62,1628937049.0,64.0
121.73,1628937049.0,64.0
129.77,1628937049.0,64.0
136.75,1628937049.0,64.0
143.3,1628937049.0,64.0
150.75,1628937049.0,64.0
157.77,1628937049.0,64.0
166.64,1628937049.0,64.0
177.95,1628937049.0,64.0
191.79,1628937049.0,64.0
206.97,1628937049.0,64.0
220.57,1628937049.0,64.0
228.25,1628937049.0,64.0
225.36,1628937049.0,64.0
208.53,1628937049.0,64.0
176.87,1628937049.0,64.0
132.76,1628937049.0,64.0
80.05,1628937049.0,64.0
23.07,1628937049.0,64.0
-34.94,1628937049.0,64.0
-92.44,1628937049.0,64.0
-149.16,1628937049.0,64.0
-205.23,1628937049.0,64.0
-260.37,1628937049.0,64.0
-313.74,1628937049.0,64.0
-363.87,1628937049.0,64.0
-409.83,1628937049.0,64.0
-450.91,1628937049.0,64.0
-486.5,1628937049.0,64.0
-515.74,1628937049.0,64.0
-537.23,1628937049.0,64.0
-549.22,1628937049.0,64.0
-549.96,1628937049.0,64.0
-538.37,1628937049.0,64.0
-514.21,1628937049.0,64.0
-478.67,1628937049.0,64.0
-433.88,1628937049.0,64.0
-382.45,1628937049.0,64.0
-327.02,1628937049.0,64.0
-269.84,1628937049.0,64.0
-212.63,1628937049.0,64.0
-156.66,1628937049.0,64.0
-102.95,1628937049.0,64.0
-52.37,1628937049.0,64.0
-5.9,1628937049.0,64.0
35.58,1628937049.0,64.0
71.43,1628937049.0,64.0
101.35,1628937049.0,64.0
125.5,1628937049.0,64.0
144.38,1628937049.0,64.0
158.69,1628937049.0,64.0
169.15,1628937049.0,64.0
176.37,1628937049.0,64.0
180.75,1628937049.0,64.0
182.57,1628937049.0,64.0
182.07,1628937049.0,64.0
179.51,1628937049.0,64.0
175.23,1628937049.0,64.0
169.65,1628937049.0,64.0
163.17,1628937049.0,64.0
156.14,1628937049.0,64.0
148.8,1628937049.0,64.0
141.3,1628937049.0,64.0
133.71,1628937049.0,64.0
126.05,1628937049.0,64.0
118.36,1628937049.0,64.0
110.69,1628937049.0,64.0
103.09,1628937049.0,64.0
95.65,1628937049.0,64.0
88.44,1628937049.0,64.0
81.51,1628937049.0,64.0
74.88,1628937049.0,64.0
68.58,1628937049.0,64.0
62.59,1628937049.0,64.0
56.91,1628937049.0,64.0
51.5,1628937049.0,64.0
46.37,1628937049.0,64.0
41.53,1628937049.0,64.0
37.0,1628937049.0,64.0
32.8,1628937049.0,64.0
28.93,1628937049.0,64.0
25.41,1628937049.0,64.0
22.19,1628937049.0,64.0
19.22,1628937049.0,64.0
16.45,1628937049.0,64.0
13.85,1628937049.0,64.0
11.45,1628937049.0,64.0
9.28,1628937049.0,64.0
7.4,1628937049.0,64.0
5.86,1628937049.0,64.0
4.64,1628937049.0,64.0
3.65,1628937049.0,64.0
2.75,1628937049.0,64.0
1.8,1628937049.0,64.0
0.75,1628937049.0,64.0
-0.38,1628937049.0,64.0
-1.45,1628937049.0,64.0
-2.29,1628937049.0,64.0
-2.78,1628937049.0,64.0
-2.93,1628937049.0,64.0
-2.9,1628937049.0,64.0
-2.97,1628937049.0,64.0
-3.38,1628937049.0,64.0
-4.26,1628937049.0,64.0
-5.51,1628937049.0,64.0
-6.84,1628937049.0,64.0
-7.88,1628937049.0,64.0
-8.38,1628937049.0,64.0
-8.32,1628937049.0,64.0
-7.97,1628937049.0,64.0
-7.8,1628937049.0,64.0
-8.21,1628937049.0,64.0
-9.41,1628937049.0,64.0
-11.22,1628937049.0,64.0
-13.19,1628937049.0,64.0
-14.79,1628937049.0,64.0
-15.65,1628937049.0,64.0
-15.72,1628937049.0,64.0
-15.31,1628937049.0,64.0
-14.9,1628937049.0,64.0
-14.98,1628937049.0,64.0
-15.89,1628937049.0,64.0
-17.84,1628937049.0,64.0
-20.88,1628937049.0,64.0
-24.68,1628937049.0,64.0
-28.33,1628937049.0,64.0
-30.3,1628937049.0,64.0
-28.86,1628937049.0,64.0
-22.77,1628937049.0,64.0
-12.09,1628937049.0,64.0
1.6,1628937049.0,64.0
15.6,1628937049.0,64.0
27.16,1628937049.0,64.0
34.51,1628937049.0,64.0
37.44,1628937049.0,64.0
37.05,1628937049.0,64.0
34.93,1628937049.0,64.0
32.35,1628937049.0,64.0
29.79,1628937049.0,64.0
27.2,1628937049.0,64.0
24.39,1628937049.0,64.0
21.47,1628937049.0,64.0
18.93,1628937049.0,64.0
17.29,1628937049.0,64.0
16.76,1628937049.0,64.0
17.09,1628937049.0,64.0
17.63,1628937049.0,64.0
17.66,1628937049.0,64.0
16.71,1628937049.0,64.0
14.81,1628937049.0,64.0
12.44,1628937049.0,64.0
10.34,1628937049.0,64.0
9.1,1628937049.0,64.0
9.01,1628937049.0,64.0
9.84,1628937049.0,64.0
11.06,1628937049.0,64.0
12.02,1628937049.0,64.0
12.32,1628937049.0,64.0
11.96,1628937049.0,64.0
11.29,1628937049.0,64.0
10.83,1628937049.0,64.0
11.0,1628937049.0,64.0
11.94,1628937049.0,64.0
13.44,1628937049.0,64.0
15.06,1628937049.0,64.0
16.33,1628937049.0,64.0
16.95,1628937049.0,64.0
16.88,1628937049.0,64.0
16.23,1628937049.0,64.0
15.26,1628937049.0,64.0
14.12,1628937049.0,64.0
12.88,1628937049.0,64.0
11.38,1628937049.0,64.0
9.4,1628937049.0,64.0
6.5,1628937049.0,64.0
2.49,1628937049.0,64.0
-2.5,1628937049.0,64.0
-7.92,1628937049.0,64.0
-12.93,1628937049.0,64.0
-16.7,1628937049.0,64.0
-18.73,1628937049.0,64.0
-19.03,1628937049.0,64.0
-18.1,1628937049.0,64.0
-16.71,1628937049.0,64.0
-15.58,1628937049.0,64.0
-15.2,1628937049.0,64.0
-15.72,1628937049.0,64.0
-16.92,1628937049.0,64.0
-18.25,1628937049.0,64.0
-18.85,1628937049.0,64.0
-17.73,1628937049.0,64.0
-14.05,1628937049.0,64.0
-7.54,1628937049.0,64.0
1.19,1628937049.0,64.0
10.63,1628937049.0,64.0
18.69,1628937049.0,64.0
23.47,1628937049.0,64.0
23.91,1628937049.0,64.0
20.21,1628937049.0,64.0
13.72,1628937049.0,64.0
6.29,1628937049.0,64.0
-0.4,1628937049.0,64.0
-5.34,1628937049.0,64.0
-8.32,1628937049.0,64.0
-9.61,1628937049.0,64.0
-9.61,1628937049.0,64.0
-8.56,1628937049.0,64.0
-6.58,1628937049.0,64.0
-3.89,1628937049.0,64.0
-1.02,1628937049.0,64.0
1.29,1628937049.0,64.0
2.24,1628937049.0,64.0
1.4,1628937049.0,64.0
-1.13,1628937049.0,64.0
-4.78,1628937049.0,64.0
-8.79,1628937049.0,64.0
-12.48,1628937049.0,64.0
-15.5,1628937049.0,64.0
-17.8,1628937049.0,64.0
-19.5,1628937049.0,64.0
-20.74,1628937049.0,64.0
-21.4,1628937049.0,64.0
-21.25,1628937049.0,64.0
-19.97,1628937049.0,64.0
-17.45,1628937049.0,64.0
-13.94,1628937049.0,64.0
-10.07,1628937049.0,64.0
-6.72,1628937049.0,64.0
-4.66,1628937049.0,64.0
-4.3,1628937049.0,64.0
-5.44,1628937049.0,64.0
-7.29,1628937049.0,64.0
-8.84,1628937049.0,64.0
-9.25,1628937049.0,64.0
-8.2,1628937049.0,64.0
-6.06,1628937049.0,64.0
-3.72,1628937049.0,64.0
-2.13,1628937049.0,64.0
-2.2,1628937049.0,64.0
-4.31,1628937049.0,64.0
-8.18,1628937049.0,64.0
-12.83,1628937049.0,64.0
-16.86,1628937049.0,64.0
-18.85,1628937049.0,64.0
-17.83,1628937049.0,64.0
-13.63,1628937049.0,64.0
-6.97,1628937049.0,64.0
0.68,1628937049.0,64.0
7.67,1628937049.0,64.0
12.68,1628937049.0,64.0
15.12,1628937049.0,64.0
15.22,1628937049.0,64.0
13.75,1628937049.0,64.0
11.52,1628937049.0,64.0
8.95,1628937049.0,64.0
5.97,1628937049.0,64.0
2.21,1628937049.0,64.0
-2.51,1628937049.0,64.0
-7.84,1628937049.0,64.0
-12.85,1628937049.0,64.0
-16.36,1628937049.0,64.0
-17.43,1628937049.0,64.0
-15.79,1628937049.0,64.0
-11.98,1628937049.0,64.0
-7.07,1628937049.0,64.0
-2.26,1628937049.0,64.0
1.57,1628937049.0,64.0
4.07,1628937049.0,64.0
5.2,1628937049.0,64.0
5.12,1628937049.0,64.0
