HR,start_time_unix,sampling_rate
55.0,1624321628.0,1.0
76.5,1624321628.0,1.0
69.33,1624321628.0,1.0
101.0,1624321628.0,1.0
92.0,1624321628.0,1.0
87.83,1624321628.0,1.0
85.0,1624321628.0,1.0
82.88,1624321628.0,1.0
81.22,1624321628.0,1.0
79.7,1624321628.0,1.0
79.36,1624321628.0,1.0
79.0,1624321628.0,1.0
78.54,1624321628.0,1.0
78.29,1624321628.0,1.0
77.87,1624321628.0,1.0
77.56,1624321628.0,1.0
77.35,1624321628.0,1.0
77.17,1624321628.0,1.0
76.79,1624321628.0,1.0
76.45,1624321628.0,1.0
76.33,1624321628.0,1.0
76.27,1624321628.0,1.0
76.22,1624321628.0,1.0
76.17,1624321628.0,1.0
76.08,1624321628.0,1.0
76.0,1624321628.0,1.0
75.96,1624321628.0,1.0
75.89,1624321628.0,1.0
75.83,1624321628.0,1.0
75.77,1624321628.0,1.0
75.71,1624321628.0,1.0
75.69,1624321628.0,1.0
75.64,1624321628.0,1.0
75.62,1624321628.0,1.0
75.66,1624321628.0,1.0
75.67,1624321628.0,1.0
75.7,1624321628.0,1.0
75.74,1624321628.0,1.0
75.74,1624321628.0,1.0
75.7,1624321628.0,1.0
75.76,1624321628.0,1.0
75.83,1624321628.0,1.0
75.81,1624321628.0,1.0
75.8,1624321628.0,1.0
75.8,1624321628.0,1.0
75.8,1624321628.0,1.0
75.81,1624321628.0,1.0
75.81,1624321628.0,1.0
75.8,1624321628.0,1.0
75.82,1624321628.0,1.0
75.8,1624321628.0,1.0
75.81,1624321628.0,1.0
75.87,1624321628.0,1.0
75.89,1624321628.0,1.0
75.89,1624321628.0,1.0
75.89,1624321628.0,1.0
75.89,1624321628.0,1.0
75.88,1624321628.0,1.0
75.92,1624321628.0,1.0
75.85,1624321628.0,1.0
76.1,1624321628.0,1.0
75.58,1624321628.0,1.0
75.73,1624321628.0,1.0
73.55,1624321628.0,1.0
73.67,1624321628.0,1.0
73.6,1624321628.0,1.0
73.48,1624321628.0,1.0
73.38,1624321628.0,1.0
73.25,1624321628.0,1.0
73.15,1624321628.0,1.0
72.9,1624321628.0,1.0
72.68,1624321628.0,1.0
72.5,1624321628.0,1.0
72.28,1624321628.0,1.0
72.12,1624321628.0,1.0
71.93,1624321628.0,1.0
71.73,1624321628.0,1.0
71.53,1624321628.0,1.0
71.4,1624321628.0,1.0
71.27,1624321628.0,1.0
