HR,start_time_unix,sampling_rate
58.0,1625853048.0,1.0
70.5,1625853048.0,1.0
63.33,1625853048.0,1.0
59.75,1625853048.0,1.0
59.6,1625853048.0,1.0
63.83,1625853048.0,1.0
67.0,1625853048.0,1.0
69.75,1625853048.0,1.0
72.11,1625853048.0,1.0
74.0,1625853048.0,1.0
75.45,1625853048.0,1.0
76.67,1625853048.0,1.0
77.62,1625853048.0,1.0
78.5,1625853048.0,1.0
79.27,1625853048.0,1.0
79.94,1625853048.0,1.0
80.53,1625853048.0,1.0
80.89,1625853048.0,1.0
81.16,1625853048.0,1.0
81.45,1625853048.0,1.0
81.29,1625853048.0,1.0
81.05,1625853048.0,1.0
80.83,1625853048.0,1.0
80.62,1625853048.0,1.0
80.4,1625853048.0,1.0
80.19,1625853048.0,1.0
79.96,1625853048.0,1.0
79.68,1625853048.0,1.0
79.31,1625853048.0,1.0
78.97,1625853048.0,1.0
78.65,1625853048.0,1.0
78.53,1625853048.0,1.0
78.39,1625853048.0,1.0
78.29,1625853048.0,1.0
78.2,1625853048.0,1.0
78.28,1625853048.0,1.0
78.35,1625853048.0,1.0
78.39,1625853048.0,1.0
78.49,1625853048.0,1.0
78.6,1625853048.0,1.0
78.73,1625853048.0,1.0
78.86,1625853048.0,1.0
79.02,1625853048.0,1.0
79.18,1625853048.0,1.0
79.4,1625853048.0,1.0
79.63,1625853048.0,1.0
79.91,1625853048.0,1.0
80.21,1625853048.0,1.0
80.49,1625853048.0,1.0
80.78,1625853048.0,1.0
81.06,1625853048.0,1.0
81.31,1625853048.0,1.0
81.55,1625853048.0,1.0
81.8,1625853048.0,1.0
82.04,1625853048.0,1.0
82.25,1625853048.0,1.0
82.44,1625853048.0,1.0
82.66,1625853048.0,1.0
82.86,1625853048.0,1.0
83.07,1625853048.0,1.0
83.65,1625853048.0,1.0
83.8,1625853048.0,1.0
84.52,1625853048.0,1.0
85.25,1625853048.0,1.0
85.82,1625853048.0,1.0
85.9,1625853048.0,1.0
85.98,1625853048.0,1.0
86.03,1625853048.0,1.0
86.07,1625853048.0,1.0
86.12,1625853048.0,1.0
86.18,1625853048.0,1.0
86.28,1625853048.0,1.0
86.4,1625853048.0,1.0
86.5,1625853048.0,1.0
86.6,1625853048.0,1.0
86.7,1625853048.0,1.0
86.8,1625853048.0,1.0
86.95,1625853048.0,1.0
87.08,1625853048.0,1.0
87.22,1625853048.0,1.0
87.48,1625853048.0,1.0
87.77,1625853048.0,1.0
88.02,1625853048.0,1.0
88.23,1625853048.0,1.0
88.42,1625853048.0,1.0
88.62,1625853048.0,1.0
88.82,1625853048.0,1.0
89.05,1625853048.0,1.0
89.32,1625853048.0,1.0
89.6,1625853048.0,1.0
89.92,1625853048.0,1.0
90.13,1625853048.0,1.0
90.38,1625853048.0,1.0
90.63,1625853048.0,1.0
90.88,1625853048.0,1.0
91.03,1625853048.0,1.0
91.22,1625853048.0,1.0
91.37,1625853048.0,1.0
91.47,1625853048.0,1.0
91.55,1625853048.0,1.0
91.57,1625853048.0,1.0
91.55,1625853048.0,1.0
91.5,1625853048.0,1.0
91.37,1625853048.0,1.0
91.13,1625853048.0,1.0
90.88,1625853048.0,1.0
90.57,1625853048.0,1.0
90.18,1625853048.0,1.0
89.72,1625853048.0,1.0
89.25,1625853048.0,1.0
88.78,1625853048.0,1.0
88.35,1625853048.0,1.0
87.87,1625853048.0,1.0
87.42,1625853048.0,1.0
87.0,1625853048.0,1.0
86.58,1625853048.0,1.0
86.17,1625853048.0,1.0
85.72,1625853048.0,1.0
85.27,1625853048.0,1.0
84.82,1625853048.0,1.0
84.45,1625853048.0,1.0
84.18,1625853048.0,1.0
83.92,1625853048.0,1.0
83.63,1625853048.0,1.0
83.28,1625853048.0,1.0
83.0,1625853048.0,1.0
82.8,1625853048.0,1.0
82.62,1625853048.0,1.0
82.42,1625853048.0,1.0
82.22,1625853048.0,1.0
82.0,1625853048.0,1.0
81.73,1625853048.0,1.0
81.52,1625853048.0,1.0
81.3,1625853048.0,1.0
81.12,1625853048.0,1.0
80.93,1625853048.0,1.0
80.77,1625853048.0,1.0
80.6,1625853048.0,1.0
80.47,1625853048.0,1.0
80.32,1625853048.0,1.0
80.23,1625853048.0,1.0
80.18,1625853048.0,1.0
80.17,1625853048.0,1.0
80.18,1625853048.0,1.0
80.27,1625853048.0,1.0
80.32,1625853048.0,1.0
80.38,1625853048.0,1.0
80.48,1625853048.0,1.0
80.5,1625853048.0,1.0
80.52,1625853048.0,1.0
80.5,1625853048.0,1.0
80.48,1625853048.0,1.0
80.43,1625853048.0,1.0
80.4,1625853048.0,1.0
80.37,1625853048.0,1.0
80.32,1625853048.0,1.0
80.23,1625853048.0,1.0
80.22,1625853048.0,1.0
80.22,1625853048.0,1.0
80.23,1625853048.0,1.0
80.32,1625853048.0,1.0
80.43,1625853048.0,1.0
80.55,1625853048.0,1.0
80.77,1625853048.0,1.0
81.03,1625853048.0,1.0
81.28,1625853048.0,1.0
81.55,1625853048.0,1.0
81.87,1625853048.0,1.0
82.27,1625853048.0,1.0
82.65,1625853048.0,1.0
83.03,1625853048.0,1.0
83.4,1625853048.0,1.0
83.82,1625853048.0,1.0
84.18,1625853048.0,1.0
84.52,1625853048.0,1.0
84.87,1625853048.0,1.0
85.23,1625853048.0,1.0
85.6,1625853048.0,1.0
85.97,1625853048.0,1.0
86.33,1625853048.0,1.0
86.65,1625853048.0,1.0
86.88,1625853048.0,1.0
87.12,1625853048.0,1.0
87.35,1625853048.0,1.0
87.65,1625853048.0,1.0
87.95,1625853048.0,1.0
88.13,1625853048.0,1.0
88.28,1625853048.0,1.0
88.42,1625853048.0,1.0
88.53,1625853048.0,1.0
88.65,1625853048.0,1.0
88.77,1625853048.0,1.0
88.82,1625853048.0,1.0
88.88,1625853048.0,1.0
88.93,1625853048.0,1.0
89.0,1625853048.0,1.0
89.02,1625853048.0,1.0
89.05,1625853048.0,1.0
89.07,1625853048.0,1.0
89.07,1625853048.0,1.0
89.0,1625853048.0,1.0
88.93,1625853048.0,1.0
88.83,1625853048.0,1.0
88.73,1625853048.0,1.0
88.6,1625853048.0,1.0
88.48,1625853048.0,1.0
88.35,1625853048.0,1.0
88.18,1625853048.0,1.0
88.1,1625853048.0,1.0
88.0,1625853048.0,1.0
87.9,1625853048.0,1.0
87.8,1625853048.0,1.0
87.72,1625853048.0,1.0
87.62,1625853048.0,1.0
87.53,1625853048.0,1.0
87.48,1625853048.0,1.0
87.43,1625853048.0,1.0
87.37,1625853048.0,1.0
87.3,1625853048.0,1.0
87.23,1625853048.0,1.0
87.15,1625853048.0,1.0
87.05,1625853048.0,1.0
86.97,1625853048.0,1.0
86.87,1625853048.0,1.0
86.78,1625853048.0,1.0
86.72,1625853048.0,1.0
86.67,1625853048.0,1.0
86.62,1625853048.0,1.0
