BVP,start_time_unix,sampling_rate
-0.0,1624876821.0,64.0
-0.0,1624876821.0,64.0
-0.0,1624876821.0,64.0
-0.0,1624876821.0,64.0
-0.0,1624876821.0,64.0
-0.0,1624876821.0,64.0
-0.0,1624876821.0,64.0
-0.0,1624876821.0,64.0
-0.0,1624876821.0,64.0
-0.0,1624876821.0,64.0
0.0,1624876821.0,64.0
0.01,1624876821.0,64.0
0.01,1624876821.0,64.0
-0.0,1624876821.0,64.0
-0.03,1624876821.0,64.0
-0.05,1624876821.0,64.0
-0.05,1624876821.0,64.0
0.0,1624876821.0,64.0
0.13,1624876821.0,64.0
0.36,1624876821.0,64.0
0.66,1624876821.0,64.0
1.01,1624876821.0,64.0
1.37,1624876821.0,64.0
1.72,1624876821.0,64.0
2.06,1624876821.0,64.0
2.4,1624876821.0,64.0
2.79,1624876821.0,64.0
3.24,1624876821.0,64.0
3.8,1624876821.0,64.0
4.42,1624876821.0,64.0
5.06,1624876821.0,64.0
5.66,1624876821.0,64.0
6.2,1624876821.0,64.0
6.68,1624876821.0,64.0
7.15,1624876821.0,64.0
7.68,1624876821.0,64.0
8.31,1624876821.0,64.0
9.14,1624876821.0,64.0
10.09,1624876821.0,64.0
11.04,1624876821.0,64.0
11.88,1624876821.0,64.0
12.56,1624876821.0,64.0
13.14,1624876821.0,64.0
13.76,1624876821.0,64.0
14.65,1624876821.0,64.0
15.96,1624876821.0,64.0
17.91,1624876821.0,64.0
20.32,1624876821.0,64.0
22.9,1624876821.0,64.0
25.38,1624876821.0,64.0
27.58,1624876821.0,64.0
29.57,1624876821.0,64.0
31.68,1624876821.0,64.0
34.32,1624876821.0,64.0
37.81,1624876821.0,64.0
42.54,1624876821.0,64.0
48.15,1624876821.0,64.0
54.1,1624876821.0,64.0
59.83,1624876821.0,64.0
64.97,1624876821.0,64.0
69.58,1624876821.0,64.0
74.14,1624876821.0,64.0
79.34,1624876821.0,64.0
85.71,1624876821.0,64.0
93.76,1624876821.0,64.0
103.0,1624876821.0,64.0
112.62,1624876821.0,64.0
121.73,1624876821.0,64.0
129.77,1624876821.0,64.0
136.75,1624876821.0,64.0
143.3,1624876821.0,64.0
150.75,1624876821.0,64.0
157.77,1624876821.0,64.0
166.64,1624876821.0,64.0
177.95,1624876821.0,64.0
191.79,1624876821.0,64.0
206.97,1624876821.0,64.0
220.57,1624876821.0,64.0
228.25,1624876821.0,64.0
225.36,1624876821.0,64.0
208.53,1624876821.0,64.0
176.87,1624876821.0,64.0
132.76,1624876821.0,64.0
80.05,1624876821.0,64.0
23.07,1624876821.0,64.0
-34.94,1624876821.0,64.0
-92.44,1624876821.0,64.0
-149.16,1624876821.0,64.0
-205.23,1624876821.0,64.0
-260.37,1624876821.0,64.0
-313.74,1624876821.0,64.0
-363.87,1624876821.0,64.0
-409.83,1624876821.0,64.0
-450.91,1624876821.0,64.0
-486.5,1624876821.0,64.0
-515.74,1624876821.0,64.0
-537.23,1624876821.0,64.0
-549.22,1624876821.0,64.0
-549.96,1624876821.0,64.0
-538.37,1624876821.0,64.0
-514.21,1624876821.0,64.0
-478.67,1624876821.0,64.0
-433.88,1624876821.0,64.0
-382.45,1624876821.0,64.0
-327.02,1624876821.0,64.0
-269.84,1624876821.0,64.0
-212.63,1624876821.0,64.0
-156.66,1624876821.0,64.0
-102.95,1624876821.0,64.0
-52.37,1624876821.0,64.0
-5.9,1624876821.0,64.0
35.58,1624876821.0,64.0
71.43,1624876821.0,64.0
101.35,1624876821.0,64.0
125.5,1624876821.0,64.0
144.38,1624876821.0,64.0
158.69,1624876821.0,64.0
169.15,1624876821.0,64.0
176.37,1624876821.0,64.0
180.75,1624876821.0,64.0
182.57,1624876821.0,64.0
182.07,1624876821.0,64.0
