HR,start_time_unix,sampling_rate
65.0,1630810591.0,1.0
65.5,1630810591.0,1.0
66.0,1630810591.0,1.0
66.5,1630810591.0,1.0
67.0,1630810591.0,1.0
68.5,1630810591.0,1.0
69.86,1630810591.0,1.0
71.12,1630810591.0,1.0
72.11,1630810591.0,1.0
73.1,1630810591.0,1.0
73.91,1630810591.0,1.0
74.58,1630810591.0,1.0
75.15,1630810591.0,1.0
75.57,1630810591.0,1.0
75.87,1630810591.0,1.0
76.06,1630810591.0,1.0
76.29,1630810591.0,1.0
76.5,1630810591.0,1.0
76.74,1630810591.0,1.0
76.95,1630810591.0,1.0
77.1,1630810591.0,1.0
77.18,1630810591.0,1.0
76.91,1630810591.0,1.0
76.79,1630810591.0,1.0
76.72,1630810591.0,1.0
76.65,1630810591.0,1.0
76.59,1630810591.0,1.0
76.54,1630810591.0,1.0
76.48,1630810591.0,1.0
76.4,1630810591.0,1.0
76.29,1630810591.0,1.0
76.19,1630810591.0,1.0
76.06,1630810591.0,1.0
75.91,1630810591.0,1.0
75.74,1630810591.0,1.0
75.64,1630810591.0,1.0
75.59,1630810591.0,1.0
75.55,1630810591.0,1.0
75.54,1630810591.0,1.0
75.5,1630810591.0,1.0
75.49,1630810591.0,1.0
75.55,1630810591.0,1.0
75.6,1630810591.0,1.0
75.64,1630810591.0,1.0
75.64,1630810591.0,1.0
75.65,1630810591.0,1.0
75.68,1630810591.0,1.0
75.71,1630810591.0,1.0
75.73,1630810591.0,1.0
75.78,1630810591.0,1.0
75.8,1630810591.0,1.0
75.87,1630810591.0,1.0
75.87,1630810591.0,1.0
75.85,1630810591.0,1.0
75.84,1630810591.0,1.0
75.86,1630810591.0,1.0
75.91,1630810591.0,1.0
75.97,1630810591.0,1.0
76.02,1630810591.0,1.0
76.07,1630810591.0,1.0
76.23,1630810591.0,1.0
76.35,1630810591.0,1.0
76.47,1630810591.0,1.0
76.45,1630810591.0,1.0
76.4,1630810591.0,1.0
76.25,1630810591.0,1.0
76.12,1630810591.0,1.0
75.93,1630810591.0,1.0
75.7,1630810591.0,1.0
75.43,1630810591.0,1.0
75.32,1630810591.0,1.0
75.2,1630810591.0,1.0
75.08,1630810591.0,1.0
75.03,1630810591.0,1.0
74.95,1630810591.0,1.0
74.92,1630810591.0,1.0
74.83,1630810591.0,1.0
74.77,1630810591.0,1.0
74.72,1630810591.0,1.0
74.65,1630810591.0,1.0
74.62,1630810591.0,1.0
74.58,1630810591.0,1.0
74.7,1630810591.0,1.0
74.78,1630810591.0,1.0
74.83,1630810591.0,1.0
74.9,1630810591.0,1.0
74.98,1630810591.0,1.0
75.07,1630810591.0,1.0
75.13,1630810591.0,1.0
75.28,1630810591.0,1.0
75.4,1630810591.0,1.0
75.52,1630810591.0,1.0
75.65,1630810591.0,1.0
75.82,1630810591.0,1.0
76.05,1630810591.0,1.0
76.27,1630810591.0,1.0
76.42,1630810591.0,1.0
76.52,1630810591.0,1.0
76.58,1630810591.0,1.0
76.68,1630810591.0,1.0
76.92,1630810591.0,1.0
77.08,1630810591.0,1.0
77.27,1630810591.0,1.0
77.43,1630810591.0,1.0
77.63,1630810591.0,1.0
77.82,1630810591.0,1.0
78.02,1630810591.0,1.0
78.23,1630810591.0,1.0
78.4,1630810591.0,1.0
78.57,1630810591.0,1.0
78.73,1630810591.0,1.0
78.88,1630810591.0,1.0
79.08,1630810591.0,1.0
79.23,1630810591.0,1.0
79.27,1630810591.0,1.0
79.18,1630810591.0,1.0
79.07,1630810591.0,1.0
