ACC_X,ACC_Y,ACC_Z,start_time_unix,sampling_rate
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-3,35,1625193209.0,32.000000
-57,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-57,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-57,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-3,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-57,-4,35,1625193209.0,32.000000
-57,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-56,-5,35,1625193209.0,32.000000
-55,-5,35,1625193209.0,32.000000
-56,-3,33,1625193209.0,32.000000
-58,-5,34,1625193209.0,32.000000
-57,-4,34,1625193209.0,32.000000
-58,-2,35,1625193209.0,32.000000
-57,-2,36,1625193209.0,32.000000
-56,-2,36,1625193209.0,32.000000
-56,-2,36,1625193209.0,32.000000
-55,-3,36,1625193209.0,32.000000
-56,-4,35,1625193209.0,32.000000
-58,-5,33,1625193209.0,32.000000
-58,-5,32,1625193209.0,32.000000
-59,-5,32,1625193209.0,32.000000
-57,-4,32,1625193209.0,32.000000
-58,-4,32,1625193209.0,32.000000
-57,-4,35,1625193209.0,32.000000
-57,-3,36,1625193209.0,32.000000
-56,-4,37,1625193209.0,32.000000
-56,-5,37,1625193209.0,32.000000
-56,-6,36,1625193209.0,32.000000
-55,-6,36,1625193209.0,32.000000
-57,-5,36,1625193209.0,32.000000
-55,-5,37,1625193209.0,32.000000
-54,-6,38,1625193209.0,32.000000
-53,-6,39,1625193209.0,32.000000
-53,-7,38,1625193209.0,32.000000
-52,-8,41,1625193209.0,32.000000
-52,-8,40,1625193209.0,32.000000
-52,-8,41,1625193209.0,32.000000
-52,-8,41,1625193209.0,32.000000
-50,-7,40,1625193209.0,32.000000
-50,-7,41,1625193209.0,32.000000
-50,-7,42,1625193209.0,32.000000
-50,-8,42,1625193209.0,32.000000
-50,-8,42,1625193209.0,32.000000
-50,-8,41,1625193209.0,32.000000
-51,-9,40,1625193209.0,32.000000
-52,-9,40,1625193209.0,32.000000
