EDA,start_time_unix,sampling_rate
0.0,1625193209.0,4.0
0.260126,1625193209.0,4.0
0.320352,1625193209.0,4.0
0.321633,1625193209.0,4.0
0.322915,1625193209.0,4.0
0.324196,1625193209.0,4.0
0.325478,1625193209.0,4.0
0.322915,1625193209.0,4.0
0.324196,1625193209.0,4.0
0.324196,1625193209.0,4.0
0.324196,1625193209.0,4.0
0.325478,1625193209.0,4.0
0.324196,1625193209.0,4.0
0.325478,1625193209.0,4.0
0.326759,1625193209.0,4.0
0.324196,1625193209.0,4.0
0.322915,1625193209.0,4.0
0.322915,1625193209.0,4.0
0.322915,1625193209.0,4.0
0.321633,1625193209.0,4.0
0.320352,1625193209.0,4.0
0.320352,1625193209.0,4.0
0.320352,1625193209.0,4.0
0.320352,1625193209.0,4.0
0.319071,1625193209.0,4.0
0.320352,1625193209.0,4.0
0.317789,1625193209.0,4.0
0.317789,1625193209.0,4.0
0.317789,1625193209.0,4.0
0.317789,1625193209.0,4.0
0.317789,1625193209.0,4.0
0.316508,1625193209.0,4.0
0.316508,1625193209.0,4.0
0.315226,1625193209.0,4.0
0.316508,1625193209.0,4.0
0.315226,1625193209.0,4.0
0.313945,1625193209.0,4.0
0.313945,1625193209.0,4.0
0.315226,1625193209.0,4.0
0.313945,1625193209.0,4.0
0.312664,1625193209.0,4.0
0.312664,1625193209.0,4.0
0.312664,1625193209.0,4.0
0.312664,1625193209.0,4.0
0.312664,1625193209.0,4.0
0.311382,1625193209.0,4.0
0.311382,1625193209.0,4.0
0.312664,1625193209.0,4.0
0.311382,1625193209.0,4.0
0.310101,1625193209.0,4.0
0.310101,1625193209.0,4.0
0.310101,1625193209.0,4.0
0.310101,1625193209.0,4.0
0.310101,1625193209.0,4.0
0.308819,1625193209.0,4.0
0.310101,1625193209.0,4.0
0.310101,1625193209.0,4.0
0.308819,1625193209.0,4.0
0.310101,1625193209.0,4.0
0.308819,1625193209.0,4.0
0.308819,1625193209.0,4.0
0.308819,1625193209.0,4.0
0.308819,1625193209.0,4.0
0.310101,1625193209.0,4.0
0.308819,1625193209.0,4.0
0.308819,1625193209.0,4.0
0.308819,1625193209.0,4.0
0.310101,1625193209.0,4.0
0.310101,1625193209.0,4.0
0.310101,1625193209.0,4.0
0.312664,1625193209.0,4.0
0.308819,1625193209.0,4.0
