ACC_X,ACC_Y,ACC_Z,start_time_unix,sampling_rate
-43,2,46,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-43,2,47,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-43,2,47,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-43,2,47,1625193209.0,32.000000
-43,2,47,1625193209.0,32.000000
-43,2,47,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-43,2,47,1625193209.0,32.000000
-43,2,47,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-43,3,46,1625193209.0,32.000000
-43,3,46,1625193209.0,32.000000
-43,2,47,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-43,3,46,1625193209.0,32.000000
-43,3,46,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-44,2,46,1625193209.0,32.000000
-44,1,46,1625193209.0,32.000000
-48,3,44,1625193209.0,32.000000
-50,4,43,1625193209.0,32.000000
-63,2,38,1625193209.0,32.000000
-76,9,42,1625193209.0,32.000000
-42,6,64,1625193209.0,32.000000
-48,9,60,1625193209.0,32.000000
-45,15,49,1625193209.0,32.000000
-43,19,47,1625193209.0,32.000000
-40,19,51,1625193209.0,32.000000
-38,16,49,1625193209.0,32.000000
-31,17,51,1625193209.0,32.000000
-20,12,59,1625193209.0,32.000000
-20,11,60,1625193209.0,32.000000
-15,9,57,1625193209.0,32.000000
-9,6,55,1625193209.0,32.000000
-9,3,56,1625193209.0,32.000000
-8,1,61,1625193209.0,32.000000
-8,-2,62,1625193209.0,32.000000
1,-5,62,1625193209.0,32.000000
5,-8,63,1625193209.0,32.000000
6,-10,62,1625193209.0,32.000000
12,-11,57,1625193209.0,32.000000
6,-12,56,1625193209.0,32.000000
5,-12,56,1625193209.0,32.000000
8,-8,58,1625193209.0,32.000000
6,-9,58,1625193209.0,32.000000
4,-10,58,1625193209.0,32.000000
0,-9,60,1625193209.0,32.000000
0,-9,62,1625193209.0,32.000000
3,-7,64,1625193209.0,32.000000
3,-7,65,1625193209.0,32.000000
-1,-6,65,1625193209.0,32.000000
-1,-6,66,1625193209.0,32.000000
0,-4,66,1625193209.0,32.000000
1,-5,67,1625193209.0,32.000000
0,-5,66,1625193209.0,32.000000
1,-6,65,1625193209.0,32.000000
-1,-6,65,1625193209.0,32.000000
1,-6,64,1625193209.0,32.000000
2,-8,62,1625193209.0,32.000000
-2,-5,61,1625193209.0,32.000000
-1,-5,61,1625193209.0,32.000000
-2,-4,62,1625193209.0,32.000000
-4,-3,62,1625193209.0,32.000000
-5,-2,61,1625193209.0,32.000000
-9,-3,61,1625193209.0,32.000000
-8,-3,62,1625193209.0,32.000000
-8,-2,64,1625193209.0,32.000000
-6,-1,64,1625193209.0,32.000000
-5,-2,63,1625193209.0,32.000000
-7,0,64,1625193209.0,32.000000
-6,-1,63,1625193209.0,32.000000
-6,-2,61,1625193209.0,32.000000
-5,-2,59,1625193209.0,32.000000
-5,-2,60,1625193209.0,32.000000
-4,-3,62,1625193209.0,32.000000
-3,-4,63,1625193209.0,32.000000
-4,-5,64,1625193209.0,32.000000
-4,-5,65,1625193209.0,32.000000
-5,-5,65,1625193209.0,32.000000
-5,-7,66,1625193209.0,32.000000
-3,-7,68,1625193209.0,32.000000
-3,-10,69,1625193209.0,32.000000
-5,-9,72,1625193209.0,32.000000
-6,-10,76,1625193209.0,32.000000
-1,-6,83,1625193209.0,32.000000
3,-2,86,1625193209.0,32.000000
4,-1,85,1625193209.0,32.000000
2,2,77,1625193209.0,32.000000
2,4,74,1625193209.0,32.000000
1,6,67,1625193209.0,32.000000
0,7,58,1625193209.0,32.000000
-2,8,54,1625193209.0,32.000000
-4,9,47,1625193209.0,32.000000
-4,9,45,1625193209.0,32.000000
-2,9,43,1625193209.0,32.000000
2,9,40,1625193209.0,32.000000
0,8,37,1625193209.0,32.000000
10,8,38,1625193209.0,32.000000
14,11,39,1625193209.0,32.000000
16,17,39,1625193209.0,32.000000
11,15,37,1625193209.0,32.000000
10,20,37,1625193209.0,32.000000
6,25,38,1625193209.0,32.000000
6,26,43,1625193209.0,32.000000
6,32,45,1625193209.0,32.000000
-8,24,47,1625193209.0,32.000000
-18,25,46,1625193209.0,32.000000
-32,26,50,1625193209.0,32.000000
-28,28,72,1625193209.0,32.000000
-25,30,73,1625193209.0,32.000000
-28,29,68,1625193209.0,32.000000
-32,31,62,1625193209.0,32.000000
-34,30,61,1625193209.0,32.000000
-35,31,57,1625193209.0,32.000000
-34,28,56,1625193209.0,32.000000
-40,23,51,1625193209.0,32.000000
-44,23,44,1625193209.0,32.000000
-37,22,47,1625193209.0,32.000000
-40,16,64,1625193209.0,32.000000
-44,13,70,1625193209.0,32.000000
-39,13,67,1625193209.0,32.000000
-30,11,60,1625193209.0,32.000000
-30,8,57,1625193209.0,32.000000
-29,8,51,1625193209.0,32.000000
-29,7,49,1625193209.0,32.000000
-34,7,47,1625193209.0,32.000000
-39,9,44,1625193209.0,32.000000
-43,8,47,1625193209.0,32.000000
-48,7,61,1625193209.0,32.000000
-51,2,48,1625193209.0,32.000000
-46,1,47,1625193209.0,32.000000
-42,4,42,1625193209.0,32.000000
-43,4,41,1625193209.0,32.000000
-49,1,45,1625193209.0,32.000000
-44,2,47,1625193209.0,32.000000
-42,2,47,1625193209.0,32.000000
-41,2,47,1625193209.0,32.000000
-41,2,47,1625193209.0,32.000000
-41,2,48,1625193209.0,32.000000
-42,2,48,1625193209.0,32.000000
-41,3,48,1625193209.0,32.000000
-42,2,47,1625193209.0,32.000000
-43,2,47,1625193209.0,32.000000
-43,2,47,1625193209.0,32.000000
-44,3,46,1625193209.0,32.000000
-45,3,47,1625193209.0,32.000000
-41,3,47,1625193209.0,32.000000
-42,3,47,1625193209.0,32.000000
-44,2,46,1625193209.0,32.000000
-37,3,49,1625193209.0,32.000000
-38,2,50,1625193209.0,32.000000
-44,1,46,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-43,2,46,1625193209.0,32.000000
-44,2,45,1625193209.0,32.000000
-44,3,45,1625193209.0,32.000000
-44,2,46,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,4,43,1625193209.0,32.000000
-48,3,42,1625193209.0,32.000000
-47,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-49,4,40,1625193209.0,32.000000
-44,3,45,1625193209.0,32.000000
-49,2,44,1625193209.0,32.000000
-43,3,44,1625193209.0,32.000000
-45,3,42,1625193209.0,32.000000
-45,3,42,1625193209.0,32.000000
-46,4,42,1625193209.0,32.000000
-48,4,43,1625193209.0,32.000000
-48,2,45,1625193209.0,32.000000
-44,2,45,1625193209.0,32.000000
-44,2,44,1625193209.0,32.000000
-44,4,42,1625193209.0,32.000000
-48,2,44,1625193209.0,32.000000
-48,3,43,1625193209.0,32.000000
-45,4,43,1625193209.0,32.000000
-45,4,42,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,45,1625193209.0,32.000000
-46,2,44,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-45,2,43,1625193209.0,32.000000
-45,4,42,1625193209.0,32.000000
-48,1,45,1625193209.0,32.000000
-47,2,44,1625193209.0,32.000000
-47,3,41,1625193209.0,32.000000
-47,3,42,1625193209.0,32.000000
-45,2,46,1625193209.0,32.000000
-44,2,44,1625193209.0,32.000000
-44,3,44,1625193209.0,32.000000
-45,3,42,1625193209.0,32.000000
-48,1,45,1625193209.0,32.000000
-47,3,42,1625193209.0,32.000000
-46,2,43,1625193209.0,32.000000
-46,2,43,1625193209.0,32.000000
-45,2,43,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,1,46,1625193209.0,32.000000
-46,3,42,1625193209.0,32.000000
-47,2,42,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-44,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-45,4,43,1625193209.0,32.000000
-47,1,45,1625193209.0,32.000000
-46,2,42,1625193209.0,32.000000
-45,2,45,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-44,3,43,1625193209.0,32.000000
-44,3,44,1625193209.0,32.000000
-47,3,46,1625193209.0,32.000000
-47,0,46,1625193209.0,32.000000
-44,3,42,1625193209.0,32.000000
-44,3,42,1625193209.0,32.000000
-47,2,43,1625193209.0,32.000000
-47,2,43,1625193209.0,32.000000
-47,3,42,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,2,45,1625193209.0,32.000000
-44,2,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-47,3,43,1625193209.0,32.000000
-46,1,45,1625193209.0,32.000000
-44,1,45,1625193209.0,32.000000
-43,2,45,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-44,2,44,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-44,1,47,1625193209.0,32.000000
-45,4,42,1625193209.0,32.000000
-46,3,42,1625193209.0,32.000000
-48,2,43,1625193209.0,32.000000
-47,2,44,1625193209.0,32.000000
-44,2,45,1625193209.0,32.000000
-44,2,44,1625193209.0,32.000000
-45,2,45,1625193209.0,32.000000
-46,2,43,1625193209.0,32.000000
-46,2,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-45,2,43,1625193209.0,32.000000
-46,2,43,1625193209.0,32.000000
-47,2,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-44,3,43,1625193209.0,32.000000
-44,2,44,1625193209.0,32.000000
-46,2,45,1625193209.0,32.000000
-47,3,44,1625193209.0,32.000000
-46,3,42,1625193209.0,32.000000
-46,2,44,1625193209.0,32.000000
-45,2,45,1625193209.0,32.000000
-44,3,44,1625193209.0,32.000000
-45,2,43,1625193209.0,32.000000
-47,2,43,1625193209.0,32.000000
-46,2,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,2,45,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-46,2,43,1625193209.0,32.000000
-46,2,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-45,2,45,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-46,2,43,1625193209.0,32.000000
-47,2,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-44,2,44,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-46,2,43,1625193209.0,32.000000
-47,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-46,2,43,1625193209.0,32.000000
-46,2,43,1625193209.0,32.000000
-46,2,43,1625193209.0,32.000000
-46,2,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,2,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,4,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,43,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-44,2,44,1625193209.0,32.000000
-47,3,46,1625193209.0,32.000000
-44,3,43,1625193209.0,32.000000
-47,2,44,1625193209.0,32.000000
-46,2,45,1625193209.0,32.000000
-44,3,44,1625193209.0,32.000000
-45,3,44,1625193209.0,32.000000
-46,3,44,1625193209.0,32.000000
