HR,start_time_unix,sampling_rate
70.0,1625193219.0,1.0
84.0,1625193219.0,1.0
92.33,1625193219.0,1.0
93.5,1625193219.0,1.0
85.8,1625193219.0,1.0
85.67,1625193219.0,1.0
85.57,1625193219.0,1.0
85.12,1625193219.0,1.0
83.89,1625193219.0,1.0
82.7,1625193219.0,1.0
81.64,1625193219.0,1.0
80.75,1625193219.0,1.0
80.08,1625193219.0,1.0
79.5,1625193219.0,1.0
79.07,1625193219.0,1.0
78.69,1625193219.0,1.0
78.35,1625193219.0,1.0
78.06,1625193219.0,1.0
77.84,1625193219.0,1.0
77.7,1625193219.0,1.0
77.57,1625193219.0,1.0
77.45,1625193219.0,1.0
77.35,1625193219.0,1.0
77.29,1625193219.0,1.0
77.28,1625193219.0,1.0
77.27,1625193219.0,1.0
77.22,1625193219.0,1.0
77.14,1625193219.0,1.0
77.07,1625193219.0,1.0
76.97,1625193219.0,1.0
76.94,1625193219.0,1.0
76.91,1625193219.0,1.0
76.88,1625193219.0,1.0
76.85,1625193219.0,1.0
76.83,1625193219.0,1.0
76.81,1625193219.0,1.0
76.76,1625193219.0,1.0
76.71,1625193219.0,1.0
76.62,1625193219.0,1.0
76.53,1625193219.0,1.0
76.41,1625193219.0,1.0
76.31,1625193219.0,1.0
76.21,1625193219.0,1.0
76.14,1625193219.0,1.0
76.07,1625193219.0,1.0
76.02,1625193219.0,1.0
75.98,1625193219.0,1.0
75.94,1625193219.0,1.0
75.92,1625193219.0,1.0
75.9,1625193219.0,1.0
75.88,1625193219.0,1.0
75.87,1625193219.0,1.0
75.83,1625193219.0,1.0
75.8,1625193219.0,1.0
75.76,1625193219.0,1.0
75.75,1625193219.0,1.0
75.74,1625193219.0,1.0
75.74,1625193219.0,1.0
75.75,1625193219.0,1.0
75.75,1625193219.0,1.0
75.87,1625193219.0,1.0
75.53,1625193219.0,1.0
75.05,1625193219.0,1.0
74.78,1625193219.0,1.0
75.23,1625193219.0,1.0
75.18,1625193219.0,1.0
75.12,1625193219.0,1.0
75.13,1625193219.0,1.0
75.18,1625193219.0,1.0
75.2,1625193219.0,1.0
75.23,1625193219.0,1.0
75.23,1625193219.0,1.0
75.17,1625193219.0,1.0
75.12,1625193219.0,1.0
75.1,1625193219.0,1.0
75.13,1625193219.0,1.0
75.18,1625193219.0,1.0
75.28,1625193219.0,1.0
75.4,1625193219.0,1.0
75.5,1625193219.0,1.0
75.65,1625193219.0,1.0
75.87,1625193219.0,1.0
76.1,1625193219.0,1.0
76.3,1625193219.0,1.0
76.52,1625193219.0,1.0
76.73,1625193219.0,1.0
76.95,1625193219.0,1.0
77.17,1625193219.0,1.0
77.28,1625193219.0,1.0
77.32,1625193219.0,1.0
77.32,1625193219.0,1.0
77.32,1625193219.0,1.0
77.3,1625193219.0,1.0
77.28,1625193219.0,1.0
77.25,1625193219.0,1.0
77.18,1625193219.0,1.0
77.1,1625193219.0,1.0
77.02,1625193219.0,1.0
76.97,1625193219.0,1.0
76.93,1625193219.0,1.0
76.93,1625193219.0,1.0
76.97,1625193219.0,1.0
77.03,1625193219.0,1.0
77.12,1625193219.0,1.0
77.2,1625193219.0,1.0
77.28,1625193219.0,1.0
77.38,1625193219.0,1.0
77.48,1625193219.0,1.0
77.57,1625193219.0,1.0
77.62,1625193219.0,1.0
77.65,1625193219.0,1.0
77.68,1625193219.0,1.0
